2022 Election SCHOOL TRUSTEE Results by Location (Vote for  9)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voting Place ID # - Voting Place,Times Cast,Undervotes,Overvotes,"300 RICHARDSON, Christopher JK
(ABC Vancouver) ",,"301 FEDORA, Aaron
(NPA) ",,,"302 CHAN-PEDLEY, Lois
(GREEN) ",,"303 THOMSON, Hilary
(Vision Vancouver) ",,,"304 MAH, Suzie
(COPE) ",,"305 TENGCO, Amanda
 ",,"306 LEUNG, Aaron
(Vision Vancouver) ",,"307 ZEIDLER, Karina
(VOTE Socialist) ",,"308 HOPKINS, Heming
 ",,"309 LITZCKE, Karin
 ",,"310 TRIGUEROS, Rocco
(COPE) ",,"311 AGGARWAL, Rahul
(NPA) ",,"312 MCARTHUR, Kera
(Vision Vancouver) ",,"313 CHIEN, Alfred
(ABC Vancouver) ",,"314 FARIDKOT, Preeti
(ABC Vancouver) ",,"315 FRASER, Janet
(GREEN) ",,"316 JUNG, Victoria
(ABC Vancouver) ",,"317 SIGURDSON, Krista
(OneCity) ",,"318 EPSTEIN, Kyla
(OneCity) ",,"319 VAUGHAN, Ashley
(NPA) ",,"320 REDDY, Jennifer
(OneCity) ",,"321 GOODINE, Nadine C
(NPA) ",,"322 SOMERS, Gavin
(OneCity) ",,"323 BROWN, Rory
(OneCity) ",,"324 LEVINE, Zelda
 ",,"325 KLJAJIC, Milan
(NPA) ",,"326 CARDWELL, Steve
(Vision Vancouver) ",,"327 POPPELL, Nick
(GREEN) ",,"328 ZHANG, Josh
(ABC Vancouver) ",,"329 WONG, Allan
(Vision Vancouver) ",,"330 ALAM, Matiul
(TEAM) ",,Total Votes
28 - Trout Lake Community Centre,"1,680","4,514",5,439,,110,,,494,,325,,,552,,92,,353,,256,,83,,77,,430,,127,,304,,445,,408,,475,,460,,634,,600,,117,,683,,93,,565,,589,,67,,80,,366,,353,,424,,389,,171,,"10,561"
29 - Kensington Community Centre,"1,846","5,114",2,833,,209,,,416,,356,,,476,,153,,389,,167,,102,,103,,254,,283,,282,,888,,823,,382,,905,,309,,303,,217,,387,,174,,301,,317,,116,,208,,329,,266,,852,,501,,181,,"11,482"
30 - Sir Richard McBride Annex,"1,207","3,458",3,448,,112,,,280,,311,,,308,,102,,270,,125,,69,,57,,191,,133,,225,,464,,401,,329,,460,,262,,246,,121,,322,,98,,218,,254,,77,,95,,293,,216,,431,,325,,135,,"7,378"
31 - Charles Dickens Annex,"1,422","3,988",3,448,,105,,,363,,268,,,429,,106,,303,,164,,63,,79,,320,,109,,203,,473,,428,,372,,462,,459,,441,,122,,485,,102,,393,,419,,73,,98,,308,,276,,431,,364,,117,,"8,783"
32 - Dr. R. E. McKechnie Elementary School,814,"2,738",0,421,,73,,,131,,95,,,124,,33,,103,,50,,25,,36,,62,,103,,86,,491,,463,,155,,468,,103,,95,,94,,117,,71,,64,,88,,37,,75,,108,,84,,469,,161,,103,,"4,588"
33 - Kerrisdale Elementary School,915,"2,967",2,430,,91,,,182,,132,,,142,,34,,118,,49,,27,,38,,82,,108,,99,,477,,460,,200,,481,,168,,134,,110,,165,,100,,98,,136,,37,,97,,168,,121,,453,,150,,163,,"5,250"
34 - Kerrisdale Community Centre,"2,138","7,624",5,969,,218,,,383,,267,,,378,,109,,293,,148,,83,,116,,223,,236,,250,,"1,023",,980,,414,,"1,022",,292,,296,,220,,339,,200,,236,,294,,128,,171,,315,,285,,999,,354,,332,,"11,573"
35 - Captain James Cook Elementary School,972,"2,903",3,407,,113,,,207,,164,,,247,,81,,209,,83,,55,,65,,131,,138,,138,,431,,389,,223,,442,,158,,146,,130,,176,,121,,102,,153,,71,,104,,180,,141,,418,,270,,125,,"5,818"
36 - Champlain Heights Community Centre,"1,538","4,429",5,531,,147,,,394,,297,,,399,,134,,321,,147,,92,,108,,310,,150,,276,,503,,481,,436,,534,,367,,361,,181,,406,,145,,307,,365,,127,,107,,384,,294,,477,,409,,178,,"9,368"
37 - Killarney Community Centre,"1,779","5,925",3,804,,160,,,307,,254,,,415,,133,,358,,127,,78,,105,,179,,243,,217,,928,,855,,285,,964,,223,,209,,159,,258,,137,,171,,198,,106,,146,,242,,202,,905,,526,,165,,"10,059"
38 - Kitsilano Neighbourhood House,"1,185","3,959",1,293,,64,,,350,,241,,,335,,48,,225,,129,,40,,42,,275,,83,,203,,281,,272,,344,,285,,373,,348,,96,,399,,87,,324,,328,,46,,63,,243,,255,,261,,175,,189,,"6,697"
39 - Redemption Church,"1,189","3,915",1,293,,73,,,355,,241,,,287,,60,,218,,118,,57,,56,,222,,85,,216,,272,,287,,389,,309,,334,,333,,97,,366,,90,,266,,325,,57,,54,,293,,293,,259,,235,,237,,"6,777"
40 - Lord Tennyson Elementary School,"1,377","4,742",0,391,,103,,,355,,241,,,283,,76,,226,,124,,47,,81,,223,,122,,216,,413,,399,,360,,438,,384,,333,,142,,379,,122,,292,,331,,80,,94,,301,,252,,374,,235,,234,,"7,651"
41 - General Gordon Elementary School,"1,380","4,929",2,365,,91,,,413,,221,,,301,,49,,211,,136,,50,,51,,218,,95,,217,,359,,357,,421,,371,,403,,358,,112,,416,,101,,309,,357,,45,,71,,240,,323,,351,,200,,261,,"7,473"
42 - Kitsilano War Memorial Community Centre,"1,682","5,992",3,540,,144,,,427,,263,,,314,,68,,214,,138,,61,,80,,262,,151,,231,,525,,538,,449,,547,,410,,396,,164,,429,,164,,322,,374,,87,,118,,281,,339,,508,,257,,318,,"9,119"
