2022 Election PARK BOARD COMMISSIONER Results by Location  (Vote for  7)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voting Place ID # - Voting Place,Times Cast,Undervotes,Overvotes,"200 JENSEN, Scott
(ABC Vancouver) ",,"201 GIESBRECHT, Gwen
(COPE) ",,,"202 CHARRETTE, Nick
 ",,"203 DIGBY, Tom
(GREEN) ",,,"204 FRENKEL, Carla
(Vision Vancouver) ",,"205 UPTON, Jason
(NPA) ",,"206 PINOCHET-ESCUDERO, Andrea
(VOTE Socialist) ",,"207 LIVINGSTONE, Chris
(COPE) ",,"208 BARKER, Tricia
(TEAM) ",,"209 STOCKWELL, Caitlin
(OneCity) ",,"210 HOWARD, Marie-Claire
(ABC Vancouver) ",,"211 ROLLERGIRL
 ",,"212 IRWIN, John
(Vision Vancouver) ",,"213 JACKSON, Serena
(OneCity) ",,"214 CHRISTENSEN, Laura
(ABC Vancouver) ",,"215 RILEY, Tricia
(GREEN) ",,"216 VIRDI, Jas
(ABC Vancouver) ",,"217 HASSAN, Maira
(COPE) ",,"218 MENARD, Liam Murphy
 ",,"219 SEPTEMBER, Dehara
(NPA) ",,"220 ZARUDINA, Olga
(NPA) ",,"221 KIMURA, Kumi
(TEAM) ",,"222 LARSEN, Kathleen
(TEAM) ",,"223 MOLLINEAUX, Michelle
(TEAM) ",,"224 PASIN, Dave
(NPA) ",,"225 BUCKSHON, James
(TEAM) ",,"226 RIVERS, Tiyaltelut Kristen
(OneCity) ",,"227 AUDLEY, Patrick
(TEAM) ",,"228 BASTYOVANSZKY, Brennan
(ABC Vancouver) ",,"229 HAER, Angela Kate
(ABC Vancouver) ",,"230 SMITH, Tracy D
 ",,"231 CRAIG, Steven
 ",,Total Votes
38 - Kitsilano Neighbourhood House,"1,185","2,110",2,302,,306,,,25,,369,,,200,,63,,117,,277,,250,,338,,269,,36,,183,,320,,266,,358,,220,,258,,63,,43,,47,,184,,223,,185,,50,,158,,314,,171,,244,,254,,44,,34,,"6,171"
39 - Redemption Church,"1,189","1,942",0,311,,266,,,35,,394,,,226,,71,,99,,260,,284,,324,,283,,33,,254,,268,,297,,385,,246,,216,,56,,38,,46,,220,,246,,209,,68,,160,,282,,191,,247,,262,,64,,40,,"6,381"
40 - Lord Tennyson Elementary School,"1,377","2,460",3,424,,226,,,38,,379,,,221,,91,,135,,250,,294,,364,,359,,29,,247,,281,,372,,389,,328,,213,,64,,64,,55,,239,,271,,231,,81,,182,,302,,197,,348,,372,,63,,49,,"7,158"
41 - General Gordon Elementary School,"1,380","2,488",4,390,,254,,,34,,431,,,218,,75,,102,,251,,336,,353,,324,,32,,256,,301,,337,,436,,313,,228,,51,,51,,43,,257,,298,,245,,58,,206,,310,,225,,312,,330,,57,,30,,"7,144"
42 - Kitsilano War Memorial Community Centre,"1,682","3,089",5,544,,278,,,34,,451,,,233,,131,,108,,249,,389,,349,,490,,31,,244,,296,,494,,421,,442,,247,,75,,81,,84,,315,,352,,289,,119,,254,,336,,261,,446,,476,,76,,55,,"8,650"
43 - Westside Baptist Church,357,710,0,136,,65,,,11,,81,,,62,,28,,30,,64,,44,,56,,131,,12,,67,,57,,123,,70,,114,,57,,16,,18,,19,,39,,35,,23,,27,,19,,58,,29,,122,,126,,27,,23,,"1,789"
44 - Scottish Cultural Centre,"1,156","1,884",2,434,,258,,,68,,296,,,183,,105,,130,,243,,197,,233,,365,,58,,220,,212,,364,,273,,318,,225,,80,,82,,81,,130,,164,,96,,107,,75,,215,,111,,311,,349,,106,,105,,"6,194"
45 - Marpole-Oakridge Community Centre,"1,564","3,155",1,786,,168,,,42,,302,,,145,,139,,82,,144,,202,,151,,705,,38,,173,,131,,728,,270,,644,,151,,56,,102,,100,,194,,185,,124,,127,,98,,132,,120,,663,,726,,71,,87,,"7,786"
46 - Kivan Club (Boys and Girls Clubs of South Coast BC),729,"1,073",1,167,,245,,,32,,237,,,161,,39,,150,,254,,75,,322,,131,,37,,156,,283,,148,,236,,118,,218,,27,,31,,20,,69,,69,,56,,30,,37,,306,,47,,120,,126,,51,,25,,"4,023"
47 - Simon Fraser Elementary School,"1,375","2,217",1,433,,362,,,42,,406,,,259,,78,,172,,352,,171,,465,,378,,63,,280,,404,,394,,434,,347,,308,,69,,59,,46,,116,,152,,119,,70,,86,,425,,87,,344,,382,,56,,42,,"7,401"
48 - Mount Pleasant Neighbourhood House,971,"1,572",0,232,,330,,,45,,301,,,181,,63,,196,,328,,94,,388,,183,,61,,182,,365,,193,,306,,174,,288,,50,,51,,43,,65,,97,,68,,39,,35,,383,,49,,168,,184,,43,,40,,"5,225"
